Step,beta0.1,beta0.5,beta5,iid,aug_beta0.1,aug_beta0.5,aug_beta5,aug_iid
76,0.4602999985218050,0.5031999945640560,0.5509999990463260,0.5544000267982480,0.631600022315979,0.7110999822616580,0.7286999821662900,0.7182999849319460
77,0.4602999985218050,0.5076000094413760,0.5432999730110170,0.5534999966621400,0.6442000269889830,0.7139000296592710,0.7271000146865850,0.7204999923706060
78,0.4618000090122220,0.5008999705314640,0.5569000244140630,0.5496000051498410,0.6434999704360960,0.7092000246047970,0.7246000170707700,0.7206000089645390
79,0.4643999934196470,0.5062000155448910,0.5486000180244450,0.5529000163078310,0.6328999996185300,0.7041000127792360,0.7265999913215640,0.7164000272750850
80,0.4571000039577480,0.5077000260353090,0.550599992275238,0.550000011920929,0.6425999999046330,0.7059000134468080,0.7250000238418580,0.7188000082969670
81,0.4519999921321870,0.5081999897956850,0.5529000163078310,0.5527999997138980,0.6399999856948850,0.7077999711036680,0.7257000207901000,0.722599983215332
82,0.4546000063419340,0.5047000050544740,0.5530999898910520,0.557200014591217,0.6305000185966490,0.7032999992370610,0.7229999899864200,0.7253000140190130
83,0.4535999894142150,0.5090000033378600,0.5483999848365780,0.5536999702453610,0.6478999853134160,0.7091000080108640,0.7289000153541570,0.7235000133514400
84,0.45179998874664300,0.5077000260353090,0.54339998960495,0.5547999739646910,0.6420000195503240,0.7031999826431270,0.7246999740600590,0.7224000096321110
85,0.45559999346733100,0.5084999799728390,0.552299976348877,0.5514000058174130,0.6395999789237980,0.7042999863624570,0.7260000109672550,0.718999981880188
86,0.45080000162124600,0.5015000104904180,0.5543000102043150,0.553600013256073,0.6378999948501590,0.7037000060081480,0.724399983882904,0.718999981880188
87,0.45739999413490300,0.5062999725341800,0.5432999730110170,0.5498999953269960,0.6410999894142150,0.70660001039505,0.7253999710083010,0.7228000164031980
88,0.45329999923706100,0.5044999718666080,0.5511999726295470,0.54830002784729,0.6376000046730040,0.7073000073432920,0.7250999808311460,0.722599983215332
89,0.4553000032901760,0.5077000260353090,0.5307000279426580,0.5508999824523930,0.6417999863624570,0.708299994468689,0.7247999906539920,0.7210000157356260
90,0.45559999346733100,0.505299985408783,0.5490999817848210,0.5533999800682070,0.642300009727478,0.7124000191688540,0.730400025844574,0.7242000102996830
91,0.45879998803138700,0.5037000179290770,0.550000011920929,0.5493000149726870,0.6419000029563900,0.7093999981880190,0.7276999950408940,0.7229999899864200
92,0.4528000056743620,0.507099986076355,0.5526999831199650,0.5501999855041500,0.6406999826431270,0.7073000073432920,0.7267000079154970,0.7232000231742860
93,0.4595000147819520,0.5005000233650210,0.5486000180244450,0.5498999953269960,0.6377000212669370,0.7062000036239620,0.7250999808311460,0.722100019454956
94,0.4587000012397770,0.5097000002861020,0.5496000051498410,0.5501999855041500,0.6468999981880190,0.7056999802589420,0.7293000221252440,0.7250999808311460
95,0.4603999853134160,0.5026999711990360,0.5472999811172490,0.5468000173568730,0.6420000195503240,0.7085000276565550,0.7285000085830690,0.7275999784469600
96,0.46059998869895900,0.49549999833107000,0.54830002784729,0.554099977016449,0.6413999795913700,0.7081000208854680,0.7279999852180480,0.7264999747276310
97,0.4569999873638150,0.5012000203132630,0.5503000020980840,0.5479000210762020,0.6442000269889830,0.7071999907493590,0.7275000214576720,0.7231000065803530
98,0.45980000495910600,0.510200023651123,0.5509999990463260,0.5458999872207640,0.6437000036239620,0.7008000016212460,0.7314000129699710,0.7258999943733220
99,0.45739999413490300,0.5041999816894530,0.539900004863739,0.5473999977111820,0.6498000025749210,0.7039999961853030,0.728600025177002,0.727400004863739
